Wavelength (nm);Interpolated Responsivity (A/W);Quantum Efficiency
350;0.15219;0.53912
351;0.15310;0.54079
352;0.15383;0.54182
353;0.15439;0.54227
354;0.15496;0.54272
355;0.15552;0.54317
356;0.15609;0.54361
357;0.15665;0.54405
358;0.15722;0.54449
359;0.15779;0.54493
360;0.15835;0.54536
361;0.15892;0.54579
362;0.15948;0.54622
363;0.16005;0.54665
364;0.16026;0.54586
365;0.16034;0.54463
366;0.16041;0.54341
367;0.16049;0.54219
368;0.16057;0.54098
369;0.16065;0.53978
370;0.16073;0.53858
371;0.16081;0.53739
372;0.16088;0.53621
373;0.16096;0.53503
374;0.16104;0.53386
375;0.16123;0.53308
376;0.16143;0.53229
377;0.16162;0.53151
378;0.16181;0.53074
379;0.16200;0.52997
380;0.16219;0.52920
381;0.16239;0.52844
382;0.16258;0.52768
383;0.16291;0.52738
384;0.16343;0.52768
385;0.16395;0.52799
386;0.16447;0.52829
387;0.16499;0.52860
388;0.16552;0.52890
389;0.16604;0.52920
390;0.16797;0.53399
391;0.16992;0.53880
392;0.17186;0.54358
393;0.17381;0.54834
394;0.17517;0.55123
395;0.17628;0.55332
396;0.17739;0.55540
397;0.17850;0.55747
398;0.17961;0.55953
399;0.18073;0.56158
400;0.18184;0.56362
401;0.18291;0.56554
402;0.18385;0.56702
403;0.18478;0.56849
404;0.18572;0.56995
405;0.18665;0.57140
406;0.18758;0.57285
407;0.18839;0.57389
408;0.18917;0.57484
409;0.18994;0.57580
410;0.19072;0.57674
411;0.19150;0.57769
412;0.19228;0.57862
413;0.19305;0.57956
414;0.19383;0.58049
415;0.19461;0.58141
416;0.19539;0.58233
417;0.19616;0.58322
418;0.19686;0.58390
419;0.19756;0.58458
420;0.19826;0.58526
421;0.19896;0.58593
422;0.19966;0.58660
423;0.20036;0.58727
424;0.20106;0.58793
425;0.20176;0.58859
426;0.20246;0.58924
427;0.20316;0.58990
428;0.20389;0.59063
429;0.20467;0.59151
430;0.20545;0.59237
431;0.20622;0.59324
432;0.20700;0.59409
433;0.20778;0.59495
434;0.20856;0.59580
435;0.20933;0.59665
436;0.21011;0.59749
437;0.21089;0.59833
438;0.21167;0.59916
439;0.21245;0.60000
440;0.21322;0.60083
441;0.21400;0.60165
442;0.21478;0.60248
443;0.21556;0.60330
444;0.21634;0.60411
445;0.21712;0.60492
446;0.21790;0.60573
447;0.21867;0.60654
448;0.21945;0.60734
449;0.22023;0.60814
450;0.22094;0.60872
451;0.22164;0.60930
452;0.22234;0.60987
453;0.22303;0.61044
454;0.22373;0.61100
455;0.22443;0.61156
456;0.22513;0.61212
457;0.22583;0.61268
458;0.22653;0.61324
459;0.22723;0.61379
460;0.22795;0.61439
461;0.22873;0.61515
462;0.22950;0.61591
463;0.23028;0.61666
464;0.23106;0.61741
465;0.23184;0.61816
466;0.23262;0.61891
467;0.23340;0.61965
468;0.23418;0.62039
469;0.23495;0.62112
470;0.23573;0.62186
471;0.23651;0.62258
472;0.23729;0.62331
473;0.23807;0.62403
474;0.23884;0.62475
475;0.23962;0.62546
476;0.24040;0.62617
477;0.24118;0.62688
478;0.24196;0.62759
479;0.24273;0.62829
480;0.24351;0.62899
481;0.24429;0.62969
482;0.24501;0.63023
483;0.24571;0.63072
484;0.24641;0.63121
485;0.24711;0.63170
486;0.24781;0.63219
487;0.24851;0.63267
488;0.24921;0.63315
489;0.24991;0.63364
490;0.25061;0.63411
491;0.25131;0.63459
492;0.25200;0.63504
493;0.25247;0.63493
494;0.25293;0.63481
495;0.25340;0.63470
496;0.25387;0.63458
497;0.25433;0.63447
498;0.25512;0.63515
499;0.25605;0.63620
500;0.25699;0.63724
501;0.25792;0.63828
502;0.25885;0.63932
503;0.25974;0.64022
504;0.26051;0.64086
505;0.26129;0.64150
506;0.26207;0.64214
507;0.26285;0.64278
508;0.26363;0.64342
509;0.26441;0.64405
510;0.26518;0.64468
511;0.26596;0.64531
512;0.26674;0.64593
513;0.26752;0.64655
514;0.26830;0.64717
515;0.26904;0.64769
516;0.26974;0.64812
517;0.27044;0.64855
518;0.27114;0.64897
519;0.27184;0.64939
520;0.27254;0.64981
521;0.27324;0.65023
522;0.27394;0.65065
523;0.27464;0.65107
524;0.27534;0.65148
525;0.27604;0.65190
526;0.27674;0.65230
527;0.27744;0.65271
528;0.27814;0.65312
529;0.27884;0.65352
530;0.27954;0.65393
531;0.28024;0.65433
532;0.28094;0.65473
533;0.28163;0.65513
534;0.28233;0.65552
535;0.28303;0.65592
536;0.28373;0.65630
537;0.28435;0.65652
538;0.28497;0.65673
539;0.28560;0.65694
540;0.28622;0.65716
541;0.28684;0.65737
542;0.28746;0.65758
543;0.28809;0.65779
544;0.28871;0.65801
545;0.28933;0.65821
546;0.28996;0.65842
547;0.29082;0.65917
548;0.29211;0.66090
549;0.29341;0.66262
550;0.29470;0.66434
551;0.29600;0.66605
552;0.29730;0.66775
553;0.29859;0.66945
554;0.29870;0.66849
555;0.29870;0.66728
556;0.29870;0.66608
557;0.29870;0.66488
558;0.29870;0.66369
559;0.29905;0.66327
560;0.29967;0.66347
561;0.30029;0.66366
562;0.30091;0.66385
563;0.30154;0.66405
564;0.30216;0.66424
565;0.30278;0.66443
566;0.30341;0.66462
567;0.30403;0.66481
568;0.30465;0.66500
569;0.30527;0.66519
570;0.30590;0.66538
571;0.30652;0.66556
572;0.30714;0.66575
573;0.30776;0.66593
574;0.30838;0.66611
575;0.30901;0.66629
576;0.30963;0.66648
577;0.31025;0.66666
578;0.31087;0.66684
579;0.31149;0.66702
580;0.31211;0.66718
581;0.31265;0.66719
582;0.31320;0.66721
583;0.31374;0.66722
584;0.31429;0.66724
585;0.31483;0.66725
586;0.31538;0.66726
587;0.31592;0.66728
588;0.31647;0.66729
589;0.31701;0.66730
590;0.31755;0.66732
591;0.31810;0.66733
592;0.31864;0.66734
593;0.31919;0.66736
594;0.31973;0.66737
595;0.32028;0.66738
596;0.32082;0.66740
597;0.32137;0.66741
598;0.32191;0.66742
599;0.32246;0.66744
600;0.32300;0.66745
601;0.32354;0.66746
602;0.32414;0.66758
603;0.32476;0.66775
604;0.32539;0.66793
605;0.32601;0.66810
606;0.32663;0.66827
607;0.32726;0.66844
608;0.32788;0.66861
609;0.32850;0.66878
610;0.32912;0.66895
611;0.32975;0.66912
612;0.33037;0.66929
613;0.33099;0.66946
614;0.33161;0.66962
615;0.33224;0.66979
616;0.33286;0.66995
617;0.33348;0.67012
618;0.33410;0.67028
619;0.33472;0.67044
620;0.33535;0.67061
621;0.33597;0.67077
622;0.33659;0.67093
623;0.33720;0.67106
624;0.33774;0.67106
625;0.33828;0.67107
626;0.33883;0.67108
627;0.33937;0.67108
628;0.33992;0.67109
629;0.34046;0.67110
630;0.34101;0.67110
631;0.34155;0.67111
632;0.34210;0.67112
633;0.34264;0.67112
634;0.34315;0.67106
635;0.34362;0.67091
636;0.34408;0.67077
637;0.34455;0.67062
638;0.34502;0.67048
639;0.34548;0.67034
640;0.34595;0.67019
641;0.34642;0.67005
642;0.34689;0.66991
643;0.34735;0.66977
644;0.34782;0.66963
645;0.34846;0.66982
646;0.34915;0.67011
647;0.34984;0.67040
648;0.35053;0.67068
649;0.35122;0.67097
650;0.35191;0.67126
651;0.35260;0.67154
652;0.35330;0.67183
653;0.35399;0.67211
654;0.35434;0.67175
655;0.35211;0.66650
656;0.35226;0.66578
657;0.35242;0.66506
658;0.35257;0.66434
659;0.35273;0.66362
660;0.35288;0.66291
661;0.35304;0.66220
662;0.35320;0.66149
663;0.35335;0.66079
664;0.35351;0.66008
665;0.35366;0.65938
666;0.35387;0.65877
667;0.35418;0.65836
668;0.35449;0.65795
669;0.35480;0.65754
670;0.35511;0.65714
671;0.35542;0.65673
672;0.35573;0.65633
673;0.35604;0.65592
674;0.35635;0.65552
