Wavelength (nm);Interpolated Responsivity (A/W);Quantum Efficiency
350;0.05240;0.18562
351;0.05258;0.18575
352;0.05277;0.18587
353;0.05279;0.18541
354;0.05279;0.18489
355;0.05279;0.18437
356;0.05279;0.18385
357;0.05284;0.18352
358;0.05303;0.18366
359;0.05322;0.18380
360;0.05341;0.18394
361;0.05360;0.18408
362;0.05391;0.18464
363;0.05428;0.18541
364;0.05466;0.18618
365;0.05503;0.18694
366;0.05541;0.18770
367;0.05578;0.18845
368;0.05616;0.18920
369;0.05653;0.18995
370;0.05691;0.19069
371;0.05728;0.19143
372;0.05766;0.19216
373;0.05803;0.19289
374;0.05841;0.19362
375;0.05878;0.19434
376;0.05931;0.19557
377;0.05987;0.19690
378;0.06044;0.19823
379;0.06100;0.19955
380;0.06156;0.20086
381;0.06212;0.20216
382;0.06268;0.20345
383;0.06324;0.20473
384;0.06381;0.20601
385;0.06448;0.20764
386;0.06523;0.20950
387;0.06597;0.21136
388;0.06672;0.21321
389;0.06747;0.21505
390;0.06822;0.21689
391;0.06898;0.21872
392;0.06973;0.22054
393;0.07048;0.22235
394;0.07130;0.22435
395;0.07223;0.22672
396;0.07317;0.22908
397;0.07410;0.23142
398;0.07504;0.23376
399;0.07598;0.23609
400;0.07691;0.23840
401;0.07785;0.24071
402;0.07879;0.24300
403;0.07975;0.24535
404;0.08087;0.24819
405;0.08200;0.25102
406;0.08312;0.25384
407;0.08425;0.25664
408;0.08528;0.25914
409;0.08621;0.26135
410;0.08715;0.26355
411;0.08809;0.26574
412;0.08903;0.26792
413;0.09029;0.27107
414;0.09161;0.27434
415;0.09292;0.27759
416;0.09423;0.28083
417;0.09549;0.28391
418;0.09661;0.28656
419;0.09774;0.28921
420;0.09886;0.29184
421;0.09998;0.29445
422;0.10123;0.29742
423;0.10254;0.30056
424;0.10386;0.30369
425;0.10517;0.30681
426;0.10648;0.30991
427;0.10779;0.31299
428;0.10911;0.31606
429;0.11042;0.31912
430;0.11173;0.32216
431;0.11304;0.32519
432;0.11435;0.32820
433;0.11566;0.33119
434;0.11697;0.33417
435;0.11829;0.33714
436;0.11960;0.34010
437;0.12091;0.34304
438;0.12222;0.34597
439;0.12354;0.34889
440;0.12485;0.35180
441;0.12616;0.35469
442;0.12747;0.35757
443;0.12879;0.36044
444;0.13010;0.36329
445;0.13153;0.36648
446;0.13307;0.36991
447;0.13460;0.37333
448;0.13613;0.37674
449;0.13753;0.37976
450;0.13884;0.38252
451;0.14015;0.38528
452;0.14146;0.38802
453;0.14277;0.39075
454;0.14408;0.39347
455;0.14539;0.39619
456;0.14671;0.39889
457;0.14802;0.40157
458;0.14941;0.40447
459;0.15094;0.40773
